location_id,location_name,latitude,longitude
234568,"FTI Kidwai Nagar, Kanpur - UPPCB",26.428282,80.327067
234997,"Dharmapuri, Agra - UPPCB",27.169338,78.03582
236406,"Mangala, Bilaspur - CECB",22.08815,82.13737
270697,"Employment Office, Moradabad - UPPCB",28.88528,78.7388
270703,"Dada Peer, Sasaram - BSPCB",24.952822,84.002396
270704,"Town Hall, Munger - BSPCB",25.376776,86.471523
270708,"Civic Center, Bhilai - Bhilai Steel Plant",21.185571,81.343175
270720,"Mirchaibari, Katihar - BSPCB",25.560083,87.553265
270721,"Mayaganj, Bhagalpur - BSPCB",25.265194,87.012947
270723,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",25.251013,86.989001
270724,"Kareemganj, Gaya - BSPCB",24.792403,84.992416
270725,"Mariam Nagar, Purnia - BSPCB",25.765657,87.466829
270726,"Chitragupta Nagar, Siwan - BSPCB",26.2271665,84.3570427
270727,"SDM Office_Khagra, Kishanganj - BSPCB",26.0881305,87.93840336
270728,"Police Line, Saharsa - BSPCB",25.892357,86.590325
270729,"Darshan Nagar, Chhapra - BSPCB",25.7808257,84.7446768
270730,"Dangi Tola, Rajgir - BSPCB",25.0328,85.41948
270737,"Forest Rest House, Manguraha - BSPCB",27.307773,84.529114
270771,"Buddhi Vihar, Moradabad - UPPCB",28.83526,78.7446
270774,"New DM Office, Arrah - BSPCB",25.5626095,84.663264
270775,"Kharahiya Basti, Araria - BSPCB",26.146529,87.454184
270777,"Jigar Colony, Moradabad - UPPCB",28.856664,78.772638
270877,"Eco Herbal Park, Moradabad - UPPCB",28.840739,78.697531
278159,"Rohta, Agra - UPPCB",27.106972,78.000111
278418,"Sector-53, Chandigarh - CPCC",30.719859,76.738637
278671,"Shivaji Nagar, Jhansi - UPPCB",25.4547,78.6039
301387,"Raikhad, Ahmedabad - IITM",23.020509,72.579261
301388,"Sardar Patel Inter College, Baghpat - UPPCB",28.964949,77.278761
301389,"HIMUDA Complex Phase-1, Baddi - HPPCB",30.943887,76.801991
301390,"Bardowali, Agartala - Tripura SPCB",23.8175497,91.2726974
301391,"DM Office_Kasipur, Samastipur - BSPCB",25.859655,85.77944
301670,"Collector Office, Yadgir - KSPCB",16.7602,77.1428
304956,"Gurdeo Nagar, Aurangabad - BSPCB",24.75746,84.366208
317035,"Doon University, Dehradun - UKPCB",30.269444,78.044167
330021,"Vibhab Nagar, Firozabad - UPPCB",27.1594,78.3953
344103,"ECIL Kapra, Hyderabad - TSPCB",17.470431,78.566959
